	precision	recall	f1-score	support
0	0.8666666666666667	0.910828025477707	0.8881987577639752	157.0
1	0.72	0.6206896551724138	0.6666666666666666	58.0
accuracy	0.8325581395348837	0.8325581395348837	0.8325581395348837	0.8325581395348837
macro avg	0.7933333333333333	0.7657588403250604	0.7774327122153208	215.0
weighted avg	0.8271007751937984	0.8325581395348837	0.8284366122586547	215.0
