	bert-base-uncased	roberta-base
0	[0.735120688564961, 0.785784881613055, 0.7749288722972935]	[0.7592013292864687, 0.7623375689633632, 0.7900168802645584]
1	[0.7290221087821708, 0.7743956674452803, 0.7606476894911798]	[0.7703606663012724, 0.741932635527881, 0.8021396259399356]
2	[0.7759407468587707, 0.7358468233018362, 0.8319575891944313]	[0.7493204937477383, 0.7811351735665916, 0.8334376150165623]
3	[0.7615027774083502, 0.768408861068141, 0.7814967196546144]	[0.7456809353990389, 0.8247294130773524, 0.7367396793093389]
4	[0.7846862502822256, 0.7609075008781706, 0.820622944307155]	[0.7955792096394183, 0.725290744319391, 0.7694206378416905]
