	bert-base-uncased	roberta-base
0	[0.7504594820384294, 0.7916506008611274, 0.7865601503759398]	[0.7649512037669933, 0.7605054302422724, 0.8219820384294071]
1	[0.7556704260651629, 0.7968201754385966, 0.7870376699324068]	[0.7864433811802234, 0.7855775803144225, 0.8112677527151213]
2	[0.8086304777094252, 0.7556423109054689, 0.8550210754158122]	[0.7891604010025063, 0.8238588896483634, 0.8474937343358395]
3	[0.7732560568086884, 0.7991332497911446, 0.7994360902255638]	[0.7513661046555784, 0.8341060985797828, 0.7762113617376775]
4	[0.8177080959975697, 0.8057368800789854, 0.8412052859421282]	[0.8135110503531556, 0.7510642135642137, 0.7926378446115288]
