	bert-base-uncased	roberta-base
0	[0.7657822440717177, 0.6993453184242658, 0.7801274018379282]	[0.8065438216754007, 0.7211811580232632, 0.8054928989139515]
1	[0.823157106051843, 0.7114763160815795, 0.8409147869674186]	[0.7946950710108606, 0.8384778233462444, 0.8204469507101088]
2	[0.7460630743525482, 0.7568390673653832, 0.8705304928989142]	[0.7723057644110277, 0.7246209200156569, 0.7981307435254805]
3	[0.8256778309409889, 0.8160059239006607, 0.7851921470342521]	[0.8041979949874688, 0.8128197095302357, 0.7515455304928992]
4	[0.7560776942355891, 0.73781328320802, 0.7800751879699248]	[0.8095655806182123, 0.83609329696791, 0.8115914786967419]
