	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.6972206558275313	0.7796052631578947	0.6385606293568334	0.6826479076479077	0.6677213868003341	0.6803470198606065	0.7285590871117188	0.6726807549175972	0.7727543182651541	0.7885338345864662	0.8096700083542189
1	0.7548248512514617	0.8004385964912281	0.774443234150746	0.8022034252297411	0.7988304093567251	0.7383005941887033	0.7534477218687745	0.7494849448796819	0.751730725414936	0.8121202627781576	0.7853383458646616
2											
3											
4											
5											
6											
7											
8											
9											
