	0	1	accuracy	macro avg	weighted avg
precision	0.8505747126436781	0.7444444444444445	0.7966101694915254	0.7975095785440613	0.8026062298417647
recall	0.7628865979381443	0.8375	0.7966101694915254	0.8001932989690721	0.7966101694915254
f1-score	0.8043478260869564	0.788235294117647	0.7966101694915254	0.7962915601023017	0.7970653257618447
support	97.0	80.0	0.7966101694915254	177.0	177.0
