	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.7383159489019526	0.7900219298245613	0.732047753723654	0.762369940001519	0.7340956558061822	0.7006389459764746	0.7269424289161132	0.7081406166932481	0.7822611470057292	0.7974937343358398	0.8135338345864662
1	0.7573672927685475	0.8053728070175439	0.7430179040086162	0.7575994911521228	0.7641547779705676	0.7350317288128924	0.7357252396726081	0.7593738133211819	0.7940522454841341	0.8109649122807019	0.8205200501253134
2											
3											
4											
5											
6											
7											
8											
9											
