	bert-base-uncased	roberta-base
0	[0.7962988765620345, 0.7273778122462332, 0.7947994987468672]	[0.821000417710944, 0.7341478696741855, 0.8153364179679969]
1	[0.8103487886382622, 0.7207299279667702, 0.8447681704260653]	[0.7973057644110276, 0.7951457168562432, 0.8170321637426902]
2	[0.7475658844079898, 0.7831368923474188, 0.8714703425229743]	[0.7709482038429407, 0.7566909698488647, 0.7839703425229742]
3	[0.8480462519936204, 0.8107522594364699, 0.8162280701754386]	[0.8020154553049291, 0.8052302960197696, 0.7648496240601503]
4	[0.7724244322928534, 0.7651239842029316, 0.7851503759398496]	[0.7850563909774436, 0.797085516822359, 0.8110484544695071]
