	bert-base-uncased	roberta-base
0	[0.7593009158024637, 0.694738410431746, 0.7590739197163348]	[0.7906554392572026, 0.7065390201112053, 0.7890219372876243]
1	[0.7901075740203164, 0.7060697493714441, 0.8327240011450537]	[0.7709906622445322, 0.791202635513781, 0.7949437988911674]
2	[0.7342511067625486, 0.750415538055902, 0.8447115562094379]	[0.7525208022112049, 0.7164064092082668, 0.7697240667828903]
3	[0.8185611516106872, 0.7905932818471519, 0.7755792453160876]	[0.7825253221151055, 0.7779233375304605, 0.7393980831328072]
4	[0.7321254377491139, 0.728044593259505, 0.764259693830331]	[0.7822253082315003, 0.7956508426587083, 0.7780864130709332]
