	0	1	accuracy	macro avg	weighted avg
precision	0.8987341772151899	0.7346938775510204	0.807909604519774	0.8167140273831052	0.8245916688924015
recall	0.7319587628865979	0.9	0.807909604519774	0.815979381443299	0.807909604519774
f1-score	0.8068181818181818	0.8089887640449438	0.807909604519774	0.8079034729315628	0.8077992359319726
support	97.0	80.0	0.807909604519774	177.0	177.0
