	0	1	accuracy	macro avg	weighted avg
precision	0.8875	0.7319587628865979	0.8022598870056498	0.8097293814432989	0.8171988758809482
recall	0.7319587628865979	0.8875	0.8022598870056498	0.8097293814432989	0.8022598870056498
f1-score	0.8022598870056498	0.8022598870056498	0.8022598870056498	0.8022598870056498	0.8022598870056498
support	97.0	80.0	0.8022598870056498	177.0	177.0
