	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.7626531117329735	0.8015350877192983	0.7449590817936599	0.7810435178856231	0.753373015873016	0.7498326023428726	0.7830077086656035	0.7793859649122807	0.793167651062388	0.8186507936507936	0.8055555555555557
1	0.771570463254511	0.8125	0.7706723359200139	0.7786895122421439	0.7810776942355889	0.7126803540637663	0.7175967307546255	0.738289634342266	0.8313586997797525	0.8458646616541354	0.850689223057644
2											
3											
4											
5											
6											
7											
8											
9											
