	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.7426416544087513	0.8031798245614035	0.7221988580734711	0.7562281285965496	0.7557121971595656	0.7157664775770564	0.7394490012911067	0.7430647568805465	0.7899596275757267	0.8060985797827904	0.819715956558062
1	0.7764594003426294	0.8278508771929824	0.7342511067625486	0.7475658844079898	0.7460630743525482	0.750415538055902	0.7831368923474188	0.7568390673653832	0.8447115562094379	0.8714703425229743	0.8705304928989142
2	0.7424645156110041	0.78125	0.6998160465265729	0.7412071846282373	0.7296308954203692	0.7930539055661264	0.8134920634920636	0.8207972582972584	0.7345235947403131	0.7746031746031745	0.7683897243107769
3	0.7437444266828225	0.7861842105263158	0.7448454823108563	0.7748433583959901	0.768295739348371	0.7679985846115559	0.7865601503759398	0.7787698412698414	0.7183892131260553	0.7599396217817271	0.749185463659148
4	0.7539532888188584	0.8031798245614035	0.7441370985305319	0.754423938634465	0.765016708437761	0.7435044127744145	0.7735605038236617	0.7618819776714513	0.7742183551516287	0.7981934001670844	0.812155388471178
5	0.7234638558981372	0.7933114035087719	0.6941396888195	0.7301501860712388	0.7180137844611527	0.6693905126869204	0.7149472388636477	0.6755116959064327	0.8068613661879916	0.8430033416875522	0.8247911445279866
6	0.7654902896185282	0.7993421052631579	0.7697545253435754	0.7951336675020887	0.7789578111946533	0.7579030661461003	0.7744272540325172	0.8011598051071737	0.7688132773659091	0.8181495405179615	0.7926691729323307
7	0.7726234250253208	0.8097587719298245	0.7713261154050627	0.784344383686489	0.781234335839599	0.7652056882008494	0.7809885290148447	0.7800755531018689	0.7813384714700505	0.8060254803675857	0.8176274018379281
8	0.7479950690634639	0.8097587719298245	0.756909937327894	0.7711361737677528	0.7760528214475585	0.7183489841083484	0.725670601328496	0.7577916235810972	0.7687262857541496	0.7959586466165414	0.7789160401002507
9	0.7422916655051504	0.8004385964912281	0.7490700385559436	0.7658103592314118	0.7729218880534671	0.7225622431579687	0.7630430242272349	0.733030492898914	0.7552427148015386	0.7814954051796159	0.7721595655806183
