	0	1	accuracy	macro avg	weighted avg
precision	0.8271604938271605	0.6875	0.751412429378531	0.7573302469135803	0.764037106786636
recall	0.6907216494845361	0.825	0.751412429378531	0.757860824742268	0.751412429378531
f1-score	0.7528089887640449	0.75	0.751412429378531	0.7514044943820224	0.7515393893226687
support	97.0	80.0	0.751412429378531	177.0	177.0
