	0	1	accuracy	macro avg	weighted avg
precision	0.8765432098765432	0.7291666666666666	0.7966101694915254	0.8028549382716049	0.8099323428890284
recall	0.7319587628865979	0.875	0.7966101694915254	0.803479381443299	0.7966101694915254
f1-score	0.7977528089887641	0.7954545454545454	0.7966101694915254	0.7966036772216547	0.7967140458094562
support	97.0	80.0	0.7966101694915254	177.0	177.0
