	0	1	accuracy	macro avg	weighted avg
precision	0.8080808080808081	0.782051282051282	0.7966101694915254	0.7950660450660451	0.7963160505533387
recall	0.8247422680412371	0.7625	0.7966101694915254	0.7936211340206185	0.7966101694915254
f1-score	0.8163265306122448	0.7721518987341772	0.7966101694915254	0.794239214673211	0.7963605953001238
support	97.0	80.0	0.7966101694915254	177.0	177.0
