	0	1	accuracy	macro avg	weighted avg
precision	0.7777777777777778	0.7435897435897436	0.7627118644067796	0.7606837606837606	0.7623255589357284
recall	0.7938144329896907	0.725	0.7627118644067796	0.7594072164948453	0.7627118644067796
f1-score	0.7857142857142858	0.7341772151898733	0.7627118644067796	0.7599457504520796	0.7624206945168113
support	97.0	80.0	0.7627118644067796	177.0	177.0
