	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.5983311287477953	0.7700000000000004	0.6455621693121693	0.6723611111111112	0.6719444444444443	0.6416931216931216	0.6636111111111112	0.6695833333333334	0.5077380952380951	0.5270833333333332	0.5465277777777778
1	0.6378968253968254	0.8199999999999995	0.659431216931217	0.6851388888888889	0.6715277777777778	0.6462566137566138	0.6686111111111112	0.6487499999999999	0.6080026455026455	0.6365277777777778	0.6305555555555556
2	0.6358960638127306	0.8083333333333331	0.6426256613756617	0.6652777777777779	0.6670833333333335	0.6456048581048581	0.6543055555555556	0.6558333333333333	0.6194576719576718	0.6455555555555554	0.632361111111111
3	0.6086331261331261	0.788333333333333	0.5827879065379065	0.6241666666666666	0.5931150793650792	0.6011670274170272	0.6209722222222223	0.6097222222222223	0.6419444444444447	0.6680555555555555	0.6617361111111111
4	0.6127346881513547	0.7933333333333331	0.593779461279461	0.6102777777777778	0.6156944444444444	0.6067261904761903	0.6144444444444445	0.6277777777777777	0.6376984126984128	0.6486111111111111	0.6659722222222223
5	0.6244586740420074	0.7900000000000001	0.6100661375661377	0.64375	0.6280555555555555	0.6957834295334295	0.7122222222222222	0.7115277777777779	0.567526455026455	0.5909722222222222	0.5865277777777779
6	0.6421085858585858	0.7899999999999997	0.6566005291005291	0.6908333333333333	0.6795833333333332	0.6732305194805195	0.6908333333333333	0.6869444444444445	0.5964947089947089	0.6129166666666667	0.613888888888889
7	0.6222011784511783	0.8016666666666664	0.6496590909090909	0.6790277777777778	0.6590277777777779	0.6265873015873015	0.6379166666666667	0.6359523809523809	0.5903571428571428	0.6076388888888888	0.6076388888888888
8	0.6128449174282506	0.8016666666666664	0.6130254930254929	0.6333333333333333	0.6355555555555554	0.629728835978836	0.6369246031746031	0.6559722222222221	0.5957804232804234	0.6116666666666667	0.6048611111111112
9	0.5994654573821241	0.7949999999999997	0.5956746031746032	0.6194444444444446	0.6180555555555556	0.5994281181781181	0.6245039682539683	0.60625	0.6032936507936507	0.6166666666666666	0.6305555555555554
10	0.6011022927689593	0.7949999999999999	0.6413955026455028	0.6730555555555555	0.6643055555555556	0.5902777777777776	0.6066666666666666	0.5956944444444443	0.5716335978835978	0.5809722222222222	0.5994444444444444
11	0.5929242516742516	0.8033333333333329	0.6005423280423281	0.6231944444444444	0.6097222222222222	0.605565083065083	0.612420634920635	0.6222222222222222	0.5726653439153437	0.6040277777777778	0.5816666666666667
12	0.5972911656244988	0.7833333333333331	0.6199098124098122	0.6422222222222224	0.6395833333333333	0.6108694083694083	0.6254166666666665	0.6245833333333334	0.561094276094276	0.5833333333333333	0.5761111111111109
13	0.6117770655270655	0.8049999999999998	0.6459325396825396	0.6537499999999998	0.6777777777777777	0.6155891330891329	0.6300595238095237	0.6268750000000001	0.573809523809524	0.5991666666666666	0.5991666666666666
14	0.6113181417348084	0.7933333333333333	0.6155026455026456	0.6355357142857143	0.6319444444444444	0.6429689754689755	0.6502777777777777	0.6672222222222222	0.5754828042328043	0.605	0.5886111111111111
