	0	1	accuracy	macro avg	weighted avg
precision	0.8367346938775511	0.810126582278481	0.8248587570621468	0.8234306380780161	0.824708428748028
recall	0.845360824742268	0.8	0.8248587570621468	0.822680412371134	0.8248587570621468
f1-score	0.8410256410256411	0.8050314465408804	0.8248587570621468	0.8230285437832607	0.8247570785466534
support	97.0	80.0	0.8248587570621468	177.0	177.0
