	bert-large-uncased	roberta-large
0	[0.6418055555555555, 0.6369444444444444, 0.7006944444444445]	[0.6636111111111112, 0.6872685185185184, 0.6506944444444446]
1	[0.6934722222222223, 0.6787499999999999, 0.6862499999999999]	[0.6680555555555556, 0.642638888888889, 0.6722222222222223]
2	[0.6361111111111111, 0.632638888888889, 0.6993055555555555]	[0.6908333333333333, 0.6908333333333333, 0.6129166666666667]
3	[0.6981944444444445, 0.6748611111111111, 0.6397222222222222]	[0.6937499999999999, 0.6705555555555556, 0.6631944444444444]
4	[0.7025000000000001, 0.6794444444444443, 0.633888888888889]	[0.6541666666666667, 0.6595833333333333, 0.6548611111111112]
