	bert-large-uncased	roberta-large
0	[0.6286243386243389, 0.6252777777777776, 0.6868121693121693]	[0.6564315776815776, 0.6841366041366042, 0.6278769841269841]
1	[0.6668915343915344, 0.6554322991822992, 0.6656613756613758]	[0.6488359788359788, 0.6351316738816738, 0.6575992063492065]
2	[0.6203306878306877, 0.6179461279461278, 0.6731349206349206]	[0.6566005291005291, 0.6732305194805195, 0.5964947089947089]
3	[0.6666534391534391, 0.6592658730158729, 0.6244973544973546]	[0.663690476190476, 0.6502873977873977, 0.6481150793650793]
4	[0.682857142857143, 0.6663455988455986, 0.6228637566137567]	[0.6450396825396826, 0.6363059163059163, 0.6265542328042328]
