	bert-large-uncased	roberta-large
0	[0.6580555555555557, 0.6476388888888889, 0.7080555555555555]	[0.68125, 0.711435185185185, 0.6395833333333333]
1	[0.6972222222222222, 0.6662499999999999, 0.6838888888888888]	[0.6799999999999998, 0.6518055555555555, 0.6841666666666667]
2	[0.6502777777777777, 0.6427777777777777, 0.692361111111111]	[0.6795833333333332, 0.6869444444444445, 0.613888888888889]
3	[0.6802777777777779, 0.6683333333333333, 0.6500000000000001]	[0.6734722222222221, 0.6649999999999999, 0.6625000000000001]
4	[0.7094444444444447, 0.6873611111111111, 0.6534722222222221]	[0.6826388888888888, 0.6413888888888888, 0.6490277777777779]
